gauge,name,a,p,e,x,z0,z1,z1_err,u1,u1_err,lmax_cut,z1_lmax
IRG,a90-pi6_ej3,0.9,43.07821271780115,0.6,1,0.977237022188305,0.014508367992062255,8.224033353515097e-08,-0.015192132490196032,8.611623607751706e-08,14,4.640151954455636e-19
IRG,a90-pi7_ej3,0.9,83.07821271780115,0.6,1,0.9883100372973816,0.007619669885366398,3.074443012588614e-08,-0.007800990413190303,3.147603613794932e-08,14,9.961125275669368e-21
IRG,a90-pi8_ej3,0.9,163.07821271780114,0.6,1,0.994076986967714,0.0039045534772061056,1.2951090074141103e-08,-0.003951221128613459,1.3105882923170726e-08,12,6.5274660224369425e-22
IRG,a99-pi0_ej0,0.99,1.615631562979778,0.1,1,0.21518120262828838,-0.02866660846420292,4.1978585499891744e-05,0.6191097648453573,0.0009066071499121563,38,-2.84331349494817e-12
IRG,a99-pi1_ej0,0.99,2.515631562979778,0.1,1,0.44291862863684917,0.0827389447300778,9.388140746970963e-06,-0.4217567911432007,4.7855482435272315e-05,38,-6.40137119150119e-14
IRG,a99-pi2_ej0,0.99,3.515631562979778,0.1,1,0.5833927990593433,0.11525729467333243,1.6320266605726008e-06,-0.3386462673951998,4.795182278560281e-06,39,-3.845087369853874e-15
IRG,a99-pi3_ej0,0.99,6.515631562979777,0.1,1,0.7677230995672814,0.1052233034084671,9.404573655537722e-08,-0.17852651036335634,1.5956215608064634e-07,39,-2.6579615911507237e-17
IRG,a99-pi4_ej0,0.99,11.515631562979777,0.1,1,0.8681003633296092,0.07236086055483362,9.489190874275263e-09,-0.09602047435350836,1.2591843186945476e-08,39,2.9324464966664477e-19
IRG,a99-pi5_ej0,0.99,21.515631562979777,0.1,1,0.9297463603086681,0.04254332532225759,1.0579210832144691e-08,-0.04921556315612071,1.2238390274089279e-08,39,3.0177162479438404e-20
IRG,a99-pi6_ej0,0.99,41.51563156297978,0.1,1,0.9638143128934048,0.023013124459942677,4.265973325100113e-09,-0.024773584160860274,4.592312068763558e-09,39,9.677403199423158e-22
IRG,a99-pi7_ej0,0.99,81.51563156297978,0.1,1,0.9816578638368191,0.011948312287605612,1.3484284553177758e-09,-0.012398988725726713,1.3992896078116008e-09,39,2.2360351685539403e-23
IRG,a99-pi8_ej0,0.99,161.5156315629798,0.1,1,0.9907708495754795,0.0060829889674818265,3.8381045848155884e-10,-0.006196844354940199,3.9099424406699993e-10,39,4.411354005720348e-25
IRG,a99-pi0_ej1,0.99,1.739068657913204,0.25,1,0.2382823567928789,-0.022332557765519026,0.0004462098760273693,0.3933278445004487,0.007858784944178502,17,-1.4135521433717745e-09
IRG,a99-pi1_ej1,0.99,2.639068657913204,0.25,1,0.4734996416630712,0.08330516949236365,3.109489104513068e-05,-0.37156315594710443,0.0001386914632184886,24,-1.866101874986765e-12
IRG,a99-pi2_ej1,0.99,3.639068657913204,0.25,1,0.6077071080761144,0.11125689750833924,5.008007409309043e-06,-0.3012578087545193,1.3560519591531436e-05,28,-4.178393022294897e-14
IRG,a99-pi3_ej1,0.99,6.639068657913204,0.25,1,0.7812870427790546,0.09957497861988417,2.908641708196968e-07,-0.16312817523844061,4.765066695036607e-07,28,-2.736705397493535e-16
IRG,a99-pi4_ej1,0.99,11.639068657913203,0.25,1,0.8755941926401165,0.06832269381200955,3.471472785159073e-08,-0.08911672877115272,4.52801670090297e-08,26,5.500275228808351e-18
IRG,a99-pi5_ej1,0.99,21.639068657913203,0.25,1,0.9336322500481067,0.04019381063874475,3.446095493112639e-08,-0.04611131337207046,3.9534442409852373e-08,29,2.2097657244700393e-19
IRG,a99-pi6_ej1,0.99,41.63906865791321,0.25,1,0.9657789126732882,0.02176187596474681,1.1217771579837454e-08,-0.023331405056989135,1.2026829533903818e-08,29,8.108181266492892e-21
IRG,a99-pi7_ej1,0.99,81.6390686579132,0.25,1,0.9826427652051977,0.011305839716639588,4.245189637608989e-09,-0.011708776124203462,4.396486799507369e-09,28,2.5929418011362566e-22
IRG,a99-pi8_ej1,0.99,161.6390686579132,0.25,1,0.9912634358175274,0.005758030887760306,1.3071071890911822e-09,-0.005859975718086506,1.3302492706825312e-09,28,4.3635226760852416e-24
IRG,a99-pi0_ej2,0.99,1.9323848163495112,0.45,1,0.28592786736793,-1.903806379577377,3.5963205299411545,23.286799704609095,43.98913500484441,12,0.12021976398241113
IRG,a99-pi1_ej2,0.99,2.832384816349511,0.45,1,0.5370435743525426,0.07712859764406733,0.00011774394513466663,-0.267421540160435,0.0004082437398613883,16,-2.6212975495378617e-11
IRG,a99-pi2_ej2,0.99,3.832384816349511,0.45,1,0.660915667364992,0.09865368036912045,3.647149363445179e-05,-0.2258505732927758,8.349518959013976e-05,18,-1.1776023154700226e-12
